manga,chapter,image_url
blades-of-the-guardians,18,https://3asq.online/wp-content/uploads/WP-manga/data/manga_69b9d888c85ca/e7b808f01e3cd318a8068f7c310aee3a/06.jpg
blades-of-the-guardians,18,https://3asq.online/wp-content/uploads/WP-manga/data/manga_69b9d888c85ca/e7b808f01e3cd318a8068f7c310aee3a/24.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/0.png
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/001.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/002.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/003.png
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/004.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/005.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/006.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/007.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/008.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/009.jpg
