manga,chapter,image_url
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/010.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/011.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/012.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/013.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/014.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/015.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/016.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/017.png
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/018.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/019+020.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/021.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/023.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/024.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/025.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/027.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/028.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/029.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/031.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/032.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/033.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/034.jpg
bungou-stray-dogs-dazai-wo-hirotta-hi,n-a,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6a4c18286e19b/5030a0ddb92f0dd31f140d784065a270/035.jpg
dark-gathering,44,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6aa57afee3964/9a593f3c8d8c0e9fe79f2491e1f4f4b3/016.jpg
kengan-omega,371,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6876739adc949/3a4fa11c8e5e8665d45ee56334302218/001.png
kengan-omega,371,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6876739adc949/3a4fa11c8e5e8665d45ee56334302218/005.png
kengan-omega,371,https://3asq.online/wp-content/uploads/WP-manga/data/manga_6876739adc949/3a4fa11c8e5e8665d45ee56334302218/007.png
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data/manga_5ca1538babe38/04db067d597fc07dd738d69362802e54/01.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data/manga_5ca1538babe38/04db067d597fc07dd738d69362802e54/02-03.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data/manga_5ca1538babe38/04db067d597fc07dd738d69362802e54/04.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data/manga_5ca1538babe38/04db067d597fc07dd738d69362802e54/08.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data/manga_5ca1538babe38/04db067d597fc07dd738d69362802e54/09.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data/manga_5ca1538babe38/04db067d597fc07dd738d69362802e54/10.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data/manga_5ca1538babe38/04db067d597fc07dd738d69362802e54/11.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data/manga_5ca1538babe38/04db067d597fc07dd738d69362802e54/14.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data/manga_5ca1538babe38/04db067d597fc07dd738d69362802e54/16.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data/manga_5ca1538babe38/04db067d597fc07dd738d69362802e54/17.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/2.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/3.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/4.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/5.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/6.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/7.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/8.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/9.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/10.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/12.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/13.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/14.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/15.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/16.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/17.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/18.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/20.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/21.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/22.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/24.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/25.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/26.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/27.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/28.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/29.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/30.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/31.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/32.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/33.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/34.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/35.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/36.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/37.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/38.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/39.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/40.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/41.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/42.jpg
unknown,unknown,https://3asq.online/wp-content/uploads/WP-manga/data//c2360c542d2b8467ccb0b8606992b686/44.jpg
