manga,total_images,archived,recoverable_broken,lost_broken,live_unarchived,deleted_archived,deleted_lost,total_issues,coverage_pct
fuguruma-kan-raihoki,122,0,0,122,0,0,0,122,0.0%
sayonara-mini-skirt,439,0,325,114,0,0,0,439,0.0%
solo-leveling,3258,3146,0,82,0,0,30,112,96.6%
noru,106,0,0,106,0,0,0,106,0.0%
fairy-tail-city-hero,104,0,0,0,0,0,104,104,0.0%
reincarnation-no-kaben,103,0,0,103,0,0,0,103,0.0%
black-lagoon,149,38,10,101,0,0,0,111,25.5%
one-piece-french,218,117,0,101,0,0,0,101,53.7%
k-y-m,100,0,0,100,0,0,0,100,0.0%
kimetsu-no-yaiba-rengoku-kyoujurou-gaiden,97,0,0,97,0,0,0,97,0.0%
ouchi-ni-kaerou,97,0,0,97,0,0,0,97,0.0%
magus-of-the-library,221,0,127,94,0,0,0,221,0.0%
tokyo-ghoul-re,3210,3120,0,90,0,0,0,90,97.2%
fables,112,0,22,90,0,0,0,112,0.0%
jojos-bizarre-adventure-part-9-the-jojolands,222,0,134,88,0,0,0,222,0.0%
burn-the-witch,180,0,96,84,0,0,0,180,0.0%
rezero-starting-life-in-another-world-chapter-1-a-day-in-the-capital,83,0,0,83,0,0,0,83,0.0%
boku-no-namae-wa-shounen-a,890,0,809,81,0,0,0,890,0.0%
zipman,79,0,0,79,0,0,0,79,0.0%
manchuria-opium-squad,409,0,331,78,0,0,0,409,0.0%
rurouni-kenshin-ibun-ashitarou-zenka-ari,77,0,0,77,0,0,0,77,0.0%
kimetsu-no-yaiba-tomioka-giyuu-gaiden,76,0,2,74,0,0,0,76,0.0%
ansatsu-kyoushitsu,71,0,0,71,0,0,0,71,0.0%
knsk,73,0,2,71,0,0,0,73,0.0%
kusuriya-no-hitorigoto,69,0,0,69,0,0,0,69,0.0%
soara-and-monsters-house,382,0,313,69,0,0,0,382,0.0%
noragami,84,0,18,66,0,0,0,84,0.0%
god-of-war-fallen-god,65,0,0,65,0,0,0,65,0.0%
versus,418,0,354,64,0,0,0,418,0.0%
tsubasa,64,0,0,64,0,0,0,64,0.0%
burn-the-witch-one-shot,58,0,0,58,0,0,0,58,0.0%
shokugeki-no-sanji,102,0,45,57,0,0,0,102,0.0%
blue-phobia,53,0,0,53,0,0,0,53,0.0%
isekai-yururi-kikou-kosodateshinagara-boukensha-shimasu,423,370,0,0,0,0,53,53,87.5%
sna,53,0,0,53,0,0,0,53,0.0%
blust,52,0,0,52,0,0,0,52,0.0%
zanuff-the-butcher,50,0,0,0,0,0,50,50,0.0%
black-torch,893,844,0,49,0,0,0,49,94.5%
koi-no-kamisama,49,0,0,49,0,0,0,49,0.0%
boku-no-negai-ga-kanau-nara,49,1,0,48,0,0,0,48,2.0%
one-piece-english,489,442,0,47,0,0,0,47,90.4%
gunka-no-baltzar,46,0,0,46,0,0,0,46,0.0%
peach-pluck,45,0,1,44,0,0,0,45,0.0%
puton-oneshot,45,0,1,44,0,0,0,45,0.0%
akuma-ni-itsukushimi-no-te-o,41,0,0,41,0,0,0,41,0.0%
clear-color,41,0,0,41,0,0,0,41,0.0%
ichinose-ke-no-taizai,132,0,91,41,0,0,0,132,0.0%
shingeki-fakepreviews,95,0,54,41,0,0,0,95,0.0%
happy,3930,3890,0,40,0,0,0,40,99.0%
kengan-omega,6827,6789,0,38,0,0,0,38,99.4%
hokuto-no-ken,90,0,52,38,0,0,0,90,0.0%
jujutsu-kaisen-2,569,0,531,38,0,0,0,569,0.0%
bloody-monday-last-season,66,26,3,37,0,0,0,40,39.4%
niwa-ni-wa-niwa-niwatori-ga-ita,37,0,0,37,0,0,0,37,0.0%
hunter-x-hunter-colored,2410,2352,22,36,0,0,0,58,97.6%
undead-girl-murder-farce,213,177,0,36,0,0,0,36,83.1%
100dollar-wa-yasu-sugiru,31,0,0,31,0,0,0,31,0.0%
braids-case-of-the-braid-killer,30,0,0,30,0,0,0,30,0.0%
rakshasa-li-san,27,0,0,27,0,0,0,27,0.0%
aru-asa-okitara,28,0,1,27,0,0,0,28,0.0%
kokoro-no-program,154,0,128,26,0,0,0,154,0.0%
one-piece-colored,917,632,260,25,0,0,0,285,68.9%
kuro-neko-tunnel,24,0,0,24,0,0,0,24,0.0%
ayakashi-no-ou,23,0,0,23,0,0,0,23,0.0%
hunter-x-hunter,1729,1663,26,22,18,0,0,48,96.2%
my-home-hero,4887,4866,0,21,0,0,0,21,99.6%
kimi-wa-yotsuba-no-clover,1544,1523,0,21,0,0,0,21,98.6%
shangri-la-frontier,2953,2933,0,20,0,0,0,20,99.3%
ماو,4484,4465,0,19,0,0,0,19,99.6%
fate-prototype-sougin-no-fragments,58,39,0,17,0,0,2,19,67.2%
code-geass-doujinshi,16,0,0,16,0,0,0,16,0.0%
inshin-no-yuki,16,0,0,16,0,0,0,16,0.0%
onepiecem,15,0,0,15,0,0,0,15,0.0%
heros,224,0,212,12,0,0,0,224,0.0%
negative-kun-and-positive-chan,21,0,9,12,0,0,0,21,0.0%
ao-no-miboru,115,0,109,6,0,0,0,115,0.0%
centuria,170,9,155,6,0,0,0,161,5.3%
omori,273,268,0,5,0,0,0,5,98.2%
yomi-no-tsugai,390,0,385,5,0,0,0,390,0.0%
sekai-no-owari-no-pen-friend,55,0,52,3,0,0,0,55,0.0%
gachiakuta,3349,3347,0,2,0,0,0,2,99.9%
kaze-no-tani-no-nausicaa,1082,1080,0,2,0,0,0,2,99.8%
shinobi-goto,1437,1435,0,2,0,0,0,2,99.9%
yomotsuhegui-fruit-of-the-underworld,96,0,94,2,0,0,0,96,0.0%
naruto-digital-colored,13355,13334,20,1,0,0,0,21,99.8%
gintama,63,62,0,1,0,0,0,1,98.4%
gokurakugai,422,0,421,1,0,0,0,422,0.0%
look-back,138,0,137,1,0,0,0,138,0.0%
vagabond,1701,1700,0,1,0,0,0,1,99.9%
ao-ashi-manga-origin,6740,6740,0,0,0,0,0,0,100.0%
baki-rahen,1382,1382,0,0,0,0,0,0,100.0%
asura-verdict,677,677,0,0,0,0,0,0,100.0%
berserk,8998,8998,0,0,0,0,0,0,100.0%
blooming-love,1013,1013,0,0,0,0,0,0,100.0%
boys-abyss,2189,2189,0,0,0,0,0,0,100.0%
drcl-midnight-children,750,750,0,0,0,0,0,0,100.0%
garaku,33,33,0,0,0,0,0,0,100.0%
giant-killing,6789,6789,0,0,0,0,0,0,100.0%
hajime-no-ippo,14795,14795,0,0,0,0,0,0,100.0%
mad,1144,1144,0,0,0,0,0,0,100.0%
marchen-crown,599,599,0,0,0,0,0,0,100.0%
neuro,4286,4286,0,0,0,0,0,0,100.0%
origin,1675,1675,0,0,0,0,0,0,100.0%
ousama-ranking,1236,1236,0,0,0,0,0,0,100.0%
sunny,748,748,0,0,0,0,0,0,100.0%
slam-dunk,1211,1211,0,0,0,0,0,0,100.0%
tengoku-daimakyou-2,2687,2687,0,0,0,0,0,0,100.0%
the-ravages-of-time-rot,11744,11744,0,0,0,0,0,0,100.0%
the-ravages-of-time,4917,4917,0,0,0,0,0,0,100.0%
tokyo-ghoul,2796,2796,0,0,0,0,0,0,100.0%
tower-of-god-s3-2,3069,3069,0,0,0,0,0,0,100.0%
umineko-no-naku-koro-ni-chiru-episode-7-requiem-of-the-golden-witch,1829,1829,0,0,0,0,0,0,100.0%
urek-mazino,1134,1134,0,0,0,0,0,0,100.0%
wan-blue-lock,6331,6331,0,0,0,0,0,0,100.0%
yuusha-avan-to-gokuen-no-maou,2390,2390,0,0,0,0,0,0,100.0%
the-room-of-the-april-witch,13,13,0,0,0,0,0,0,100.0%
the-wolf-wont-sleep,179,179,0,0,0,0,0,0,100.0%
شرط-السكن-كن-ودودًا-مع-جارك,25,25,0,0,0,0,0,0,100.0%
2-nen-b-gumi-yuusha-destroyers,137,137,0,0,0,0,0,0,100.0%
11121,18,18,0,0,0,0,0,0,100.0%
3-gatsu-no-lion-2,12,12,0,0,0,0,0,0,100.0%
andalus,8,8,0,0,0,0,0,0,100.0%
anne-shirley,57,57,0,0,0,0,0,0,100.0%
aoao,32,0,32,0,0,0,0,32,0.0%
aria,2463,2463,0,0,0,0,0,0,100.0%
ashita-no-joe,630,630,0,0,0,0,0,0,100.0%
attack-on-titan-no-requiem,21,21,0,0,0,0,0,0,100.0%
ayashimon,78,78,0,0,0,0,0,0,100.0%
baki-dou-2018,752,752,0,0,0,0,0,0,100.0%
baki-dou,76,76,0,0,0,0,0,0,100.0%
banya,926,926,0,0,0,0,0,0,100.0%
behind,15,15,0,0,0,0,0,0,100.0%
blackberry-chocolate,39,39,0,0,0,0,0,0,100.0%
blades-of-the-guardians,495,495,0,0,0,0,0,0,100.0%
bloodborne,143,143,0,0,0,0,0,0,100.0%
blue-lock-episode-nagi,384,384,0,0,0,0,0,0,100.0%
boys-abyss-2,894,894,0,0,0,0,0,0,100.0%
bug-ego,250,250,0,0,0,0,0,0,100.0%
bungo-stray-dogs,97,97,0,0,0,0,0,0,100.0%
bungou-stray-dogs-dazai-wo-hirotta-hi,37,37,0,0,0,0,0,0,100.0%
captain-tsubasa-rising-sun-part-3,202,202,0,0,0,0,0,0,100.0%
chainsaw-man-fan-made-chapter,7,0,7,0,0,0,0,7,0.0%
clevatess-the-devil-beast-king-the-baby-and-the-corpse-hero,39,39,0,0,0,0,0,0,100.0%
cocona,50,50,0,0,0,0,0,0,100.0%
coffee-jikan,220,220,0,0,0,0,0,0,100.0%
chingiri,19,19,0,0,0,0,0,0,100.0%
confession,286,286,0,0,0,0,0,0,100.0%
cross-epoch,18,0,18,0,0,0,0,18,0.0%
d-gray-man,33,33,0,0,0,0,0,0,100.0%
death-note-episode-0,52,0,52,0,0,0,0,52,0.0%
death-note-special-one-shot,87,0,87,0,0,0,0,87,0.0%
dog-and-scum,426,426,0,0,0,0,0,0,100.0%
dr-hound,151,151,0,0,0,0,0,0,100.0%
dr-stone-4d-science,42,0,42,0,0,0,0,42,0.0%
dr-stone-reboot-byakuya,167,167,0,0,0,0,0,0,100.0%
echoes,71,71,0,0,0,0,0,0,100.0%
enigmatica,491,472,19,0,0,0,0,19,96.1%
fate-grand-order-gouka-kenran-mugetsu-sakuhinshuu,179,179,0,0,0,0,0,0,100.0%
for-the-goddesses-for-daphne,11,11,0,0,0,0,0,0,100.0%
fate-samurai-remnant-one-shot,35,0,35,0,0,0,0,35,0.0%
gokko,187,187,0,0,0,0,0,0,100.0%
golden-kamuy-colored,1328,1328,0,0,0,0,0,0,100.0%
goodbye-eri,200,200,0,0,0,0,0,0,100.0%
grand-blue-2,900,900,0,0,0,0,0,0,100.0%
haikyuu-oneshot,16,16,0,0,0,0,0,0,100.0%
haimiya-senpai-wa-kowakute-kawaii,44,44,0,0,0,0,0,0,100.0%
hajime-no-ippo-baki,60,60,0,0,0,0,0,0,100.0%
happiness,1770,1770,0,0,0,0,0,0,100.0%
hana-wa-shinitagaru,54,54,0,0,0,0,0,0,100.0%
hideout,216,195,21,0,0,0,0,21,90.3%
highserk-senki,314,314,0,0,0,0,0,0,100.0%
higurashi-no-naku-koro-ni-onikakushi-hen,428,428,0,0,0,0,0,0,100.0%
higurashi-no-naku-koro-ni-tatarigoroshi-hen,197,197,0,0,0,0,0,0,100.0%
higurashi-no-naku-koro-ni-watanagashi-hen,477,477,0,0,0,0,0,0,100.0%
hisoka-origin-story,68,68,0,0,0,0,0,0,100.0%
houseki-no-kuni,2646,2646,0,0,0,0,0,0,100.0%
hunter-x-hunter-kurapika-tsuioku-hen,66,66,0,0,0,0,0,0,100.0%
ichigeki,1114,1114,0,0,0,0,0,0,100.0%
ikigami-the-ultimate-limit,364,364,0,0,0,0,0,0,100.0%
innocent-rouge,2435,2435,0,0,0,0,0,0,100.0%
innocent-sakamoto-shinichi,1837,1837,0,0,0,0,0,0,100.0%
jumyou-wo-kaitotte-moratta-ichinen-ni-tsuki-ichimanen-de,595,595,0,0,0,0,0,0,100.0%
kabuto-mushi,35,35,0,0,0,0,0,0,100.0%
kagurabachi-2,333,333,0,0,0,0,0,0,100.0%
kaiju-no-8-b-side,74,0,74,0,0,0,0,74,0.0%
kaiten-no-albus,35,35,0,0,0,0,0,0,100.0%
kakukaku-shikajika,826,826,0,0,0,0,0,0,100.0%
kamigami-no-itadaki,1608,1608,0,0,0,0,0,0,100.0%
kaoru-hana-wa-rin-to-saku,21,21,0,0,0,0,0,0,100.0%
katekyo-hitman-reborn,371,371,0,0,0,0,0,0,100.0%
kengan-ashura,47,47,0,0,0,0,0,0,100.0%
kin-no-kuni-mizu-no-kuni,252,252,0,0,0,0,0,0,100.0%
kingdom-2,7705,7705,0,0,0,0,0,0,100.0%
kingdom-hearts,179,179,0,0,0,0,0,0,100.0%
kowloon-generic-romance,45,45,0,0,0,0,0,0,100.0%
little-hands,274,0,274,0,0,0,0,274,0.0%
light-again,78,0,78,0,0,0,0,78,0.0%
kusuriya-no-hitorigoto-side-story-sazens-secret,5,5,0,0,0,0,0,0,100.0%
lookism_fedaa-chan,196,196,0,0,0,0,0,0,100.0%
maryoku-kare-no-dark-elf,2,2,0,0,0,0,0,0,100.0%
metaphor-refantazio,255,255,0,0,0,0,0,0,100.0%
mia-neverland-above-the-clouds,176,176,0,0,0,0,0,0,100.0%
mission-yozakura-family-2,1262,1262,0,0,0,0,0,0,100.0%
minasoko,95,95,0,0,0,0,0,0,100.0%
mujina-in-to-the-deep,37,0,37,0,0,0,0,37,0.0%
mujirushi,255,255,0,0,0,0,0,0,100.0%
nemurubaka,211,211,0,0,0,0,0,0,100.0%
night-of-the-living-cat,175,175,0,0,0,0,0,0,100.0%
no-no-kurasu-class-of-brains,62,62,0,0,0,0,0,0,100.0%
nokase,60,60,0,0,0,0,0,0,100.0%
one-piece-episode-a,53,53,0,0,0,0,0,0,100.0%
one-piece-special-boichi-crossover,36,0,36,0,0,0,0,36,0.0%
orb-on-the-movements-of-the-earth,280,280,0,0,0,0,0,0,100.0%
otr-of-the-flame,689,689,0,0,0,0,0,0,100.0%
pandora-hearts,3504,3504,0,0,0,0,0,0,100.0%
pen-to-wappa-to-jijitsu-kon,963,963,0,0,0,0,0,0,100.0%
persona-5,106,106,0,0,0,0,0,0,100.0%
pompo-the-cinephile,11,11,0,0,0,0,0,0,100.0%
prism-rondo,97,97,0,0,0,0,0,0,100.0%
psycho-pass-kanshikan-kougami-shinya,334,334,0,0,0,0,0,0,100.0%
ranger-reject,583,583,0,0,0,0,0,0,100.0%
record-of-ragnarok,195,195,0,0,0,0,0,0,100.0%
rezero-arc-1,55,55,0,0,0,0,0,0,100.0%
rezero-arc-2,134,134,0,0,0,0,0,0,100.0%
ruridargon,535,535,0,0,0,0,0,0,100.0%
romance-dawn-first-edition,49,49,0,0,0,0,0,0,100.0%
saegusa-sensei,32,32,0,0,0,0,0,0,100.0%
sakamoto-one-shot,44,44,0,0,0,0,0,0,100.0%
samurai-in-another-world,254,254,0,0,0,0,0,0,100.0%
sangeki,357,357,0,0,0,0,0,0,100.0%
sensou-kyoushitsu,8,8,0,0,0,0,0,0,100.0%
sasuke-shinden-shitei-no-hoshi,50,50,0,0,0,0,0,0,100.0%
shikido,49,49,0,0,0,0,0,0,100.0%
shingeki-no-kyojin-colored,59,0,59,0,0,0,0,59,0.0%
shibatarian,61,61,0,0,0,0,0,0,100.0%
shitai-katsugi-no-nemu,543,543,0,0,0,0,0,0,100.0%
slam-dunk-2,976,976,0,0,0,0,0,0,100.0%
smother-me,383,383,0,0,0,0,0,0,100.0%
spy-x-family,579,579,0,0,0,0,0,0,100.0%
str,104,104,0,0,0,0,0,0,100.0%
taoist-master-hoguk,114,0,114,0,0,0,0,114,0.0%
temple,577,577,0,0,0,0,0,0,100.0%
tengoku-daimakyou,234,234,0,0,0,0,0,0,100.0%
tenkaichi-nihon-saikyou-bugeisha-ketteisen,496,496,0,0,0,0,0,0,100.0%
terra-formars-gaiden-rain-hard,194,194,0,0,0,0,0,0,100.0%
the-awakening-monster,10,10,0,0,0,0,0,0,100.0%
the-gift-of-the-magi,197,197,0,0,0,0,0,0,100.0%
the-amazing-digital-circus,32,32,0,0,0,0,0,0,100.0%
the-marshal-king,665,665,0,0,0,0,0,0,100.0%
the-night-gwen-stacy-died,43,0,43,0,0,0,0,43,0.0%
the-return-of-the-corpse-king,415,415,0,0,0,0,0,0,100.0%
the-witch-and-the-mercenary,521,521,0,0,0,0,0,0,100.0%
toriko,1024,1024,0,0,0,0,0,0,100.0%
tower-of-god-s1,357,357,0,0,0,0,0,0,100.0%
tower-of-god-s2,1305,1305,0,0,0,0,0,0,100.0%
transformers-skybound,173,173,0,0,0,0,0,0,100.0%
umineko-episode-1-legend-of-the-golden-witch,1043,1043,0,0,0,0,0,0,100.0%
umineko-no-naku-koro-ni-chiru-episode-5-end-of-the-golden-witch,1259,1259,0,0,0,0,0,0,100.0%
umineko-no-naku-koro-ni-chiru-episode-6-dawn-of-the-golden-witch,1520,1520,0,0,0,0,0,0,100.0%
umineko-no-naku-koro-ni-chiru-episode-8-twilight-of-the-golden-witch,1226,1226,0,0,0,0,0,0,100.0%
umineko-no-naku-koro-ni-episode-2-turn-of-the-golden-witch,922,922,0,0,0,0,0,0,100.0%
umineko-no-naku-koro-ni-episode-3-banquet-of-the-golden-witch,1182,1182,0,0,0,0,0,0,100.0%
umineko-no-naku-koro-ni-episode-4-alliance-of-the-golden-witch,1412,1412,0,0,0,0,0,0,100.0%
urareta-henkyou-haku-reijou-wa-ringoku-no-outaishi-ni-dekiai-sareru,53,53,0,0,0,0,0,0,100.0%
usuzumi-no-hate,206,190,16,0,0,0,0,16,92.2%
vanitas-no-carte,107,92,15,0,0,0,0,15,86.0%
veil,780,780,0,0,0,0,0,0,100.0%
vegapunk-message,15,15,0,0,0,0,0,0,100.0%
vinland-saga,1992,1992,0,0,0,0,0,0,100.0%
watashi-no-shiawase-na-kekkon,72,72,0,0,0,0,0,0,100.0%
wistoria-wand-and-sword,338,338,0,0,0,0,0,0,100.0%
witchriv,429,429,0,0,0,0,0,0,100.0%
yuusha-goikkou-no-kaerimichi,52,0,52,0,0,0,0,52,0.0%
ikoku-nikki,343,343,0,0,0,0,0,0,100.0%
