category,status,count,percentage
سليمة + مؤرشفة,archived,259648,70.31%
معطوبة + قابلة للاسترجاع (موجودة في Wayback),recoverable,20873,5.65%
معطوبة + مفقودة نهائيًا,lost,87538,23.70%
سليمة + غير مؤرشفة بعد,pending,5,0.00%
حُذفت من imgur + قابلة للاسترجاع,deleted_archived,0,0.00%
حُذفت من imgur + مفقودة نهائيًا,deleted_lost,1223,0.33%
